"id";"scu";"name";"weight";"Width";"Depth";"Height"
"1";"Б-6U-350-ШТНС";"Боковина Б-6U-350-ШТНС";"1,93";"78";"350";"267"
"2";"Б-6U-450-ШТНС";"Боковина Б-6U-450-ШТНС";"2,37";"78";"450";"267"
"3";"Б-6U-550-ШТНС";"Боковина Б-6U-550-ШТНС";"2,82";"78";"550";"267"
"4";"Б-6U-650-ШТНС";"Боковина Б-6U-650-ШТНС";"3,26";"78";"650";"267"
"5";"Б-9U-350-ШТНС";"Боковина Б-9U-350-ШТНС";"2,67";"78";"350";"400,5"
"6";"Б-9U-450-ШТНС";"Боковина Б-9U-450-ШТНС";"3,27";"78";"450";"400,5"
"7";"Б-9U-550-ШТНС";"Боковина Б-9U-550-ШТНС";"3,87";"78";"550";"400,5"
"8";"Б-9U-650-ШТНС";"Боковина Б-9U-650-ШТНС";"4,48";"78";"650";"400,5"
"9";"Б-12U-350-ШТНС";"Боковина Б-12U-350-ШТНС";"3,42";"78";"350";"534"
"10";"Б-12U-450-ШТНС";"Боковина Б-12U-450-ШТНС";"4,17";"78";"450";"534"
"11";"Б-12U-550-ШТНС";"Боковина Б-12U-550-ШТНС";"4,93";"78";"550";"534"
"12";"Б-12U-650-ШТНС";"Боковина Б-12U-650-ШТНС";"5,69";"78";"650";"534"
"13";"Б-15U-350-ШТНС";"Боковина Б-15U-350-ШТНС";"4,16";"78";"350";"667,5"
"14";"Б-15U-450-ШТНС";"Боковина Б-15U-450-ШТНС";"5,07";"78";"450";"667,5"
"15";"Б-15U-550-ШТНС";"Боковина Б-15U-550-ШТНС";"5,99";"78";"550";"667,5"
"16";"Б-15U-650-ШТНС";"Боковина Б-15U-650-ШТНС";"6,9";"78";"650";"667,5"
"17";"Б-18U-350-ШТНС";"Боковина Б-18U-350-ШТНС";"4,91";"78";"350";"801"
"18";"Б-18U-450-ШТНС";"Боковина Б-18U-450-ШТНС";"5,98";"78";"450";"801"
"19";"Б-18U-550-ШТНС";"Боковина Б-18U-550-ШТНС";"7,05";"78";"550";"801"
"20";"Б-18U-650-ШТНС";"Боковина Б-18U-650-ШТНС";"8,12";"78";"650";"801"
"21";"Д-6U-М";"Дверь Д-6U-М";"1,44";"538,5";"17,5";"261,5"
"22";"Д- 6U-П";"Дверь Д- 6U-П";"1,44";"538,5";"17,5";"261,5"
"23";"Д-6U-С";"Дверь Д-6U-С";"0,79";"538,5";"17,5";"261,5"
"24";"Д- 9U-М";"Дверь Д- 9U-М";"2,05";"538,5";"17,5";"395"
"25";"Д-9U-П";"Дверь Д-9U-П";"2,05";"538,5";"17,5";"395"
"26";"Д-9U-С";"Дверь Д-9U-С";"1,12";"538,5";"17,5";"261,5"
"27";"Д-12U-М";"Дверь Д-12U-М";"2,66";"538,5";"17,5";"528,5"
"28";"Д-12U-П";"Дверь Д-12U-П";"2,66";"538,5";"17,5";"528,5"
"29";"Д-12U-С";"Дверь Д-12U-С";"1,46";"538,5";"17,5";"261,5"
"30";"Д-15U-М";"Дверь Д-15U-М";"3,26";"538,5";"17,5";"662"
"31";"Д-15U-П";"Дверь Д-15U-П";"3,26";"538,5";"17,5";"662"
"32";"Д-15U-С";"Дверь Д-15U-С";"1,78";"538,5";"17,5";"261,5"
"33";"Д-18U-М";"Дверь Д-18U-М";"3,87";"538,5";"17,5";"795,5"
"34";"Д-18U-П";"Дверь Д-18U-П";"3,87";"538,5";"17,5";"795,5"
"35";"Д-18U-С";"Дверь Д-18U-С";"2,13";"538,5";"17,5";"261,5"
"36";"О-350";"Основание О-350";"3,44";"600";"350";"35"
"37";"О-450";"Основание О-450";"4,27";"600";"450";"35"
"38";"О-550";"Основание О-550";"5,1";"600";"550";"35"
"39";"О-650";"Основание О-650";"5,93";"600";"650";"35"
"40";"Н-6U";"Основание Н-6U";"0,15";"286,5";"25";"25"
"41";"Н-9U";"Основание Н-9U";"0,22";"420";"25";"25"
"42";"Н-12U";"Основание Н-12U";"0,29";"553,5";"25";"25"
"43";"Н-15U";"Основание Н-15U";"0,35";"687";"25";"25"
"44";"Н-18U";"Основание Н-18U";"0,42";"820,5";"25";"25"
"45";"К-З";"Комплект заземления К-З"
"46";"З-П";"Замок почтовый З-П"
"47";"К-К";"Комплект крепежа К-К"
"48";"ГК 355х272х110";"Короб ГК 355х272х110"
"49";"ГК 455х272х110";"Короб ГК 455х272х110"
"50";"ГК 555х272х110";"Короб ГК 555х272х110"
"51";"ГК 655х272х110";"Короб ГК 655х272х110"
"52";"ГК 355х405х110";"Короб ГК 355х405х110"
"53";"ГК 455х405х110";"Короб ГК 455х405х110"
"54";"ГК 555х405х110";"Короб ГК 555х405х110"
"55";"ГК 655х405х110";"Короб ГК 655х405х110"
"56";"ГК 355х540х110";"Короб ГК 355х540х110"
"57";"ГК 455х540х110";"Короб ГК 455х540х110"
"58";"ГК 555х540х110";"Короб ГК 555х540х110"
"59";"ГК 655х540х110";"Короб ГК 655х540х110"
"60";"ГК 355х672х110";"Короб ГК 355х672х110"
"61";"ГК 455х672х110";"Короб ГК 455х672х110"
"62";"ГК 555х672х110";"Короб ГК 555х672х110"
"63";"ГК 655х672х110";"Короб ГК 655х672х110"
"64";"ГК 355х805х110";"Короб ГК 355х805х110"
"65";"ГК 455х805х110";"Короб ГК 455х805х110"
"66";"ГК 555х805х110";"Короб ГК 555х805х110"
"67";"ГК 655х805х110";"Короб ГК 655х805х110"
"68";"ГК 542х265х20";"Короб ГК 542х265х20"
"69";"ГК 542х400х20";"Короб ГК 542х400х20"
"70";"ГК 542х535х20";"Короб ГК 542х535х20"
"71";"ГК 542х665х20";"Короб ГК 542х665х20"
"72";"ГК 542х800х20";"Короб ГК 542х800х20"
"73";"ГК 605х355х75";"Короб ГК 605х355х75"
"74";"ГК 605х455х75";"Короб ГК 605х455х75"
"75";"ГК 605х555х75";"Короб ГК 605х555х75"
"76";"ГК 605х655х75";"Короб ГК 605х655х75"
